Timestamp,AvgFPS,StdDevFPS,AvgIntersections,StdDevIntersections,AvgBuildTimeMs,AvgMemoryKB,StdDevMemoryKB
2706.46,7.42212,0.21409,2.96662e+07,93420.7,0.00055157,6794.5,0
2736.57,7.50908,0.187114,2.95848e+07,86090.1,0.000540266,6794.5,0
2766.61,7.29437,0.193427,2.96105e+07,97300.2,0.000548858,6794.5,0
2796.66,7.49678,0.233312,2.96448e+07,111369,0.000540889,6794.5,0
2826.79,7.40622,0.211657,2.96131e+07,71101.9,0.000557399,6794.5,0
2856.81,7.33397,0.197445,2.95962e+07,111045,0.000545909,6794.5,0
2886.84,7.46853,0.259642,2.96402e+07,115257,0.000554018,6794.5,0
2916.94,7.38166,0.202579,2.96225e+07,73612.8,0.000561712,6794.5,0
2946.95,7.36877,0.196091,2.96143e+07,99247.6,0.000580995,6794.5,0
2977.01,7.45815,0.207123,2.96366e+07,100224,0.000555804,6794.5,0
3007.03,7.43602,0.233132,2.95869e+07,91604.9,0.000563677,6794.5,0
3037.11,7.28349,0.167324,2.96801e+07,75196.3,0.000554338,6794.5,0
3067.15,7.52901,0.217515,2.96027e+07,101148,0.000538938,6794.5,0
3097.21,7.35956,0.214733,2.95984e+07,80473.7,0.000562896,6794.5,0
3127.25,7.32689,0.16245,2.96882e+07,70323.2,0.000553636,6794.5,0
3157.27,7.53522,0.218917,2.95904e+07,87744,0.000545575,6794.5,0
3187.28,7.30157,0.202386,2.96013e+07,97732.7,0.000550228,6794.5,0
3217.3,7.4369,0.243545,2.96579e+07,125752,0.000557848,6794.5,0
3247.43,7.47155,0.19666,2.95932e+07,111187,0.000544444,6794.5,0
3277.51,7.28985,0.226202,2.96163e+07,107031,0.00056621,6794.5,0
3307.53,7.50026,0.220544,2.96335e+07,109459,0.00054,6794.5,0
3337.54,7.40376,0.207044,2.96198e+07,71293.5,0.000543694,6794.5,0
3367.65,7.34599,0.214461,2.96136e+07,90295.7,0.000579638,6794.5,0
3397.68,7.46584,0.222595,2.96386e+07,104630,0.000577679,6794.5,0
3427.7,7.40088,0.217156,2.96105e+07,78380.9,0.000586937,6794.5,0
3457.71,7.33601,0.205484,2.96361e+07,141743,0.000554545,6794.5,0
3487.76,7.46246,0.224931,2.96341e+07,100402,0.000565625,6794.5,0
3517.79,7.43176,0.224619,2.95679e+07,202842,0.00056009,6794.5,0
3547.83,7.29412,0.153247,2.96797e+07,68195.9,0.000538813,6794.5,0
3577.91,7.55219,0.198924,2.95934e+07,114384,0.000554185,6794.5,0
3608.01,7.28613,0.290076,2.96218e+07,116548,0.000569863,6794.5,0
3638.02,7.27414,0.236562,2.96905e+07,352015,0.000616972,6794.5,0
3668.07,7.52528,0.207887,2.95796e+07,115223,0.000569469,6794.5,0
3698.18,7.27921,0.208869,2.96094e+07,105512,0.000565753,6794.5,0
3728.21,7.4664,0.218705,2.96538e+07,98053,0.000563839,6794.5,0
3758.29,7.4524,0.202925,2.96012e+07,73566,0.000595536,6794.5,0
3788.3,7.30348,0.199059,2.96056e+07,106847,0.000571233,6794.5,0
3818.35,7.46017,0.2151,2.96527e+07,106360,0.000691518,6794.5,0
3848.45,7.38013,0.20497,2.96232e+07,70082.5,0.000554955,6794.5,0
3878.57,7.34118,0.187444,2.96119e+07,102107,0.000591403,6794.5,0
3908.7,7.47593,0.229537,2.96329e+07,108426,0.000560889,6794.5,0
3938.74,7.39775,0.229747,2.96057e+07,98709.6,0.000554955,6794.5,0
3968.75,7.33506,0.19245,2.96473e+07,93878,0.000563636,6794.5,0
3998.8,7.463,0.23905,2.96383e+07,102857,0.000548214,6794.5,0
4028.87,7.42187,0.225975,2.95878e+07,81643.2,0.000565471,6794.5,0
4058.92,7.29297,0.181935,2.96848e+07,75337.5,0.000683562,6794.5,0
4088.92,7.53807,0.211384,2.95996e+07,89807.9,0.00055354,6794.5,0
4118.97,7.3281,0.222814,2.96002e+07,100528,0.000619545,6794.5,0
4149.1,7.37435,0.187259,2.96701e+07,138797,0.000568018,6794.5,0
4179.21,7.51197,0.218436,2.95898e+07,116635,0.00055531,6794.5,0
4209.22,7.26937,0.205354,2.96053e+07,104644,0.000638073,6794.5,0
4239.25,7.46688,0.235714,2.96552e+07,104178,0.000553125,6794.5,0
4269.36,7.40974,0.187474,2.962e+07,69957.6,0.000548431,6794.5,0
4299.37,7.305,0.195001,2.9613e+07,100815,0.000622831,6794.5,0
4329.47,7.48005,0.216366,2.9647e+07,103128,0.000550667,6794.5,0
4359.5,7.36458,0.20351,2.96346e+07,67734.2,0.000567421,6794.5,0
4389.54,7.36335,0.213018,2.96081e+07,99659.8,0.000570136,6794.5,0
4419.6,7.45821,0.219208,2.96409e+07,98471.1,0.000557143,6794.5,0
4449.67,7.42377,0.228277,2.95949e+07,86090.7,0.000543498,6794.5,0
4479.76,7.31592,0.184223,2.96389e+07,171493,0.00059,6794.5,0
4509.8,7.49681,0.222206,2.96204e+07,92238.1,0.000587556,6794.5,0
4539.91,7.38131,0.236943,2.95879e+07,89751,0.000572973,6794.5,0
4570,7.31351,0.171397,2.96922e+07,64841.4,0.000562727,6794.5,0
4600.11,7.5463,0.216732,2.95838e+07,96570.3,0.000553304,6794.5,0
4630.24,7.3388,0.195567,2.95906e+07,88028.7,0.000580543,6794.5,0
4660.31,7.39015,0.227684,2.96773e+07,91833.5,0.000556306,6794.5,0
4690.34,7.49969,0.195999,2.95899e+07,81024.3,0.000576444,6794.5,0
4720.46,7.27633,0.204241,2.9612e+07,110318,0.000581279,6794.5,0
4750.55,7.5166,0.212976,2.96296e+07,103585,0.000565044,6794.5,0
4780.61,7.39214,0.227813,2.96212e+07,80354.2,0.00058964,6794.5,0
4810.7,7.34979,0.195698,2.95907e+07,149400,0.000558824,6794.5,0
4840.79,7.48467,0.242003,2.96349e+07,113443,0.00056,6794.5,0
4870.79,7.40576,0.218471,2.96078e+07,80021.1,0.000566216,6794.5,0
4900.87,7.35395,0.21472,2.96244e+07,103434,0.000588688,6794.5,0
4930.89,7.47087,0.239303,2.9633e+07,103031,0.00059375,6794.5,0
4960.94,7.42794,0.229822,2.95885e+07,89495.4,0.000560538,6794.5,0
4991.01,7.28729,0.169193,2.96718e+07,77503.7,0.000565753,6794.5,0
5021.1,7.51602,0.213987,2.96082e+07,94268.4,0.000573009,6794.5,0
5051.15,7.36051,0.210026,2.95917e+07,90702.7,0.000547964,6794.5,0
5081.21,7.32249,0.173919,2.96835e+07,135148,0.000575455,6794.5,0
5111.3,7.54911,0.217788,2.9583e+07,83227.5,0.000556388,6794.5,0
5141.33,7.29953,0.205427,2.96047e+07,91953,0.000570776,6794.5,0
5171.38,7.42742,0.235725,2.96679e+07,95370.5,0.000552466,6794.5,0
5201.42,7.46288,0.199307,2.96089e+07,73780.9,0.000652679,6794.5,0
5231.51,7.28337,0.207713,2.9619e+07,97585.3,0.000568037,6794.5,0
5261.54,7.4992,0.222603,2.96355e+07,112175,0.000565333,6794.5,0
5291.59,7.39541,0.220259,2.9621e+07,72433.3,0.000562613,6794.5,0
5321.65,7.35861,0.20457,2.96048e+07,91909.9,0.000557919,6794.5,0
5351.72,7.45376,0.22498,2.96368e+07,194277,0.000579464,6794.5,0
5381.82,7.41638,0.210618,2.96064e+07,73893.7,0.000757848,6794.5,0
5411.84,7.33404,0.208673,2.96407e+07,99612.6,0.000555909,6794.5,0
5441.95,7.47984,0.232506,2.96292e+07,133854,0.000538222,6794.5,0
5471.95,7.40699,0.228721,2.95814e+07,121338,0.00055991,6794.5,0
5501.96,7.30231,0.167136,2.96801e+07,67259.1,0.000539726,6794.5,0
5532.05,7.55018,0.216153,2.95904e+07,93726.8,0.00055859,6794.5,0
5562.18,7.33936,0.211549,2.95965e+07,84828.1,0.00159683,6794.5,0
5592.23,7.36029,0.177032,2.96791e+07,67089.3,0.000556561,6794.5,0
5622.25,7.53409,0.214967,2.95878e+07,91487.2,0.000571681,6794.5,0
5652.32,7.28874,0.201804,2.96006e+07,121976,0.000565297,6794.5,0
5682.38,7.49227,0.254297,2.96255e+07,226299,0.00062,6794.5,0
5712.38,7.40547,0.201224,2.96191e+07,89435.4,0.000586937,6794.5,0
5742.45,7.32167,0.181352,2.96005e+07,97311.7,0.000581818,6794.5,0
5772.57,7.4768,0.23016,2.96434e+07,113104,0.000552,6794.5,0
5802.68,7.41116,0.19212,2.9612e+07,61847.4,0.000547534,6794.5,0
5832.77,7.34962,0.206989,2.96125e+07,146561,0.000580995,6794.5,0
5862.8,7.43494,0.244452,2.96513e+07,112921,0.000546637,6794.5,0
5892.86,7.42518,0.21929,2.95982e+07,82156.8,0.000556054,6794.5,0
5922.9,7.29533,0.200678,2.96615e+07,89340.6,0.000552511,6794.5,0
5952.98,7.51943,0.197852,2.96078e+07,98710.9,0.00055531,6794.5,0
5983.01,7.40033,0.235581,2.9587e+07,90706.2,0.000561712,6794.5,0
6013.12,7.3091,0.175774,2.96831e+07,68524.7,0.000556364,6794.5,0
6043.26,7.47707,0.273947,2.96122e+07,103943,0.00169689,6794.5,0
6073.35,7.22082,0.274273,2.96484e+07,121273,0.000563134,6794.5,0
6103.39,7.3644,0.214955,2.96783e+07,134003,0.000552036,6794.5,0
6133.4,7.5355,0.216415,2.95837e+07,86734.4,0.000556637,6794.5,0
6163.52,7.27738,0.21512,2.96087e+07,96372.5,0.000547945,6794.5,0
6193.53,7.50378,0.199534,2.96421e+07,93617.1,0.000627556,6794.5,0
6223.62,7.41744,0.226377,2.96166e+07,82059.8,0.00055426,6794.5,0
6253.65,7.33243,0.192015,2.9606e+07,86932.2,0.000596364,6794.5,0
6283.75,7.4811,0.232958,2.9639e+07,110047,0.00054,6794.5,0
6313.88,7.37455,0.209661,2.96272e+07,71993.9,0.000546847,6794.5,0
6344.01,7.34135,0.206051,2.96199e+07,103382,0.000550226,6794.5,0
6374.08,7.45465,0.229962,2.96337e+07,112181,0.000582143,6794.5,0
6404.19,7.41277,0.226138,2.95964e+07,92765.5,0.000538565,6794.5,0
6434.22,7.29888,0.16809,2.96633e+07,76656.9,0.000577626,6794.5,0
6464.28,7.48923,0.218144,2.9621e+07,92915.3,0.000560889,6794.5,0
6494.32,7.36299,0.210968,2.95947e+07,87324.4,0.000595023,6794.5,0
6524.38,7.32333,0.159914,2.9678e+07,72280.4,0.000541818,6794.5,0
6554.39,7.53521,0.203812,2.95832e+07,206672,0.000548673,6794.5,0
6584.5,7.31408,0.208945,2.96015e+07,92963,0.00055,6794.5,0
6614.5,7.40501,0.220537,2.96714e+07,97643.2,0.000562613,6794.5,0
6644.57,7.48903,0.19008,2.95968e+07,71802.5,0.000556444,6794.5,0
